lang,ASR,published v1 (macro),legacy (macro),n legacy,nopen (macro),n nopen,v2 (macro),n v2,v2 (corpus),v2 corpus 95% CI,drift (env),D-02 penalty,agree legacy/nopen,D-10 chunking,agree nopen/v2,D-01 aggregation
en-US,whisper,0.0806,0.0805,1500,0.0807,1500,0.0807,1500,0.0774,"[0.0703, 0.0842]",-0.0001,0.0002,0.9893,0.0,1.0,-0.0033
es-ES,whisper,0.0485,0.0485,1499,0.0484,1499,0.0484,1499,0.0452,"[0.0397, 0.0512]",0.0,-0.0001,0.9907,0.0,1.0,-0.0032
es-MX,whisper,0.0654,0.0652,1500,0.0648,1500,0.0648,1500,0.0613,"[0.0541, 0.0691]",-0.0002,-0.0004,0.9867,0.0,1.0,-0.0035
nl-NL,whisper,0.0407,0.0407,1500,0.0408,1500,0.0408,1500,0.0385,"[0.0331, 0.0453]",0.0,0.0001,0.992,0.0,1.0,-0.0023
pt-BR,whisper,0.0823,0.0816,1500,0.0817,1500,0.0817,1500,0.0737,"[0.0608, 0.0884]",-0.0007,0.0001,0.9727,0.0,1.0,-0.008
ky,gigaam,0.1104,0.1104,694,0.1104,694,0.1104,694,0.0998,"[0.0773, 0.1311]",0.0,0.0,1.0,0.0,1.0,-0.0106
